match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,won_margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,,players_name,total_score,Avr,SR,4s,6s,Bowler_Name,WKTS,Economy,,Stadium_name,,Ave inning score,Ave PP score,Ave death over score
1,3/31/2023,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,Group,Gujarat Titans,Field,182,5,178,7,Gujarat Titans,Wickets,5,Rashid Khan,Ruturaj Gaikwad,92,Dwayne Bravo,3--20,,Shubman Gill,890,59.33,157.8,85,33,Mohammad Shami,28,8.03,,Narendra modi stadium,,193,50.1,59.2
2,04-01-2023,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Kolkata Knight Riders,Group,Kolkata Knight Riders,Field,191,5,146,7,Punjab Kings,Runs,7,Arshdeep Singh,Bhanuka Rajapaksa,50,Kuldeep Yadav,3--18,,Faf du Plessis,730,56.15,153.68,60,36,Mohit Sharma,27,8.17,,Arun jaitley stadium,,167.7,56,46.3
3,04-01-2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Delhi Capitals,Group,Delhi Capitals,Field,193,6,143,9,Lucknow Super Giants,Runs,50,Mark Wood,Kyle Mayers,73,Mohammed Siraj,2--59,,Devon Conway,672,51.69,139.7,77,18,Rashid Khan,27,8.23,,wankheda stadium,,197.5,60,59.7
4,04-02-2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,Group,Sunrisers Hyderabad,Field,131,8,203,5,Rajasthan Royals,Runs,72,Jos Buttler,Sanju Samson,55,Mohammed Shami,3--25,,Virat Kohli,639,53.25,139.82,65,16,Piyush Chawla,22,8.11,,Is bindra stadium,,197.8,55.1,53
5,04-02-2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Group,Royal Challengers Bangalore,Field,172,2,171,7,Royal Challengers Bangalore,Wickets,8,Faf du Plessis,Tilak Varma,84,Yuzvendra Chahal,3--22,,Yashasvi Jaiswal,625,48.07,163.61,82,26,Yuzvendra Chahal,21,8.17,,Rajiv gandhi stadium,,177.5,46.5,49.5
6,04-03-2023,MA Chidambaram Stadium,Chennai Super Kings,Lucknow Super Giants,Group,Lucknow Super Giants,Field,217,7,205,7,Chennai Super Kings,Wickets,12,Moeen Ali,Ruturaj Gaikwad,57,Wanindu Hasaranga,4--20,,Suryakumar Yadav,605,43.21,181.13,65,28,Tushar Deshpande,21,9.92,,Chinasyama,,195.3,51.3,53.4
7,04-04-2023, Arun Jaitley Stadiumi,Delhi Capitals,Gujarat Titans,Group,Gujarat Titans,Field,162,8,163,4,Gujarat Titans,Wickets,6,Sai Sudharsan,Sai Sudharsan,62,Ravi Bishnoi,2--24,,Ruturaj Gaikwad,590,42.14,147.5,46,30,Ravindra Jadeja,20,7.56,,Eden garden,,195.7,54.9,57.5
8,04-05-2023, Barsapara Cricket Stadium,Rajasthan Royals,Punjab Kings,Group,Rajasthan Royals,Field,192,7,197,4,Punjab Kings,Runs,5,Nathan Ellis,Shikhar Dhawan,86,Umesh Yadav,4--23,,David Warner,516,36.85,131.63,69,10,Varun Chakaravarthy,20,8.14,,Sawai mansingh stadium,,171.8,47.2,51.7
9,04-06-2023,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Group,Royal Challengers Bangalore,Field,204,7,123,10,Kolkata Knight Riders,Runs,81,Shardul Thakur,Shardul Thakur,68,Jasprit Bumrah,3--17,,Rinku Singh,474,59.25,149.52,31,29,Mohammed Siraj,19,7.5,,MA chidambran stadium,,168,54.9,48.5
10,04-07-2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Group,Sunrisers Hyderabad,Bat,127,5,121,8,Lucknow Super Giants,Wickets,5,Krunal Pandya,KL Rahul,35,Lockie Ferguson,4--28,,Ishan Kishan,454,30.26,142.76,54,18,Matheesha Pathirana,19,8,,Ekana stadium,,143.2,38.3,42.1
